Id,LotArea,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,8450,0,0,0,7,5,2003,2003,0,0,0,0,0,0,0,0,856,0,0,856,854,1,0,2,1,3,1,0,8,0,0,2003,2,548,0,0,61,0,0,0,0,2,2008,0,0,208500
2,9600,1,0,1,6,8,1976,1976,0,0,1,1,1,0,0,1,1262,0,0,1262,0,0,1,2,0,3,1,1,6,1,0,1976,2,460,0,298,0,0,0,0,0,5,2007,0,0,181500
3,11250,0,0,0,7,5,2001,2002,0,0,0,0,0,0,0,2,920,0,0,920,866,1,0,2,1,3,1,0,6,1,0,2001,2,608,0,0,42,0,0,0,0,9,2008,0,0,223500
4,9550,2,0,0,7,5,1915,1970,0,0,2,2,2,1,1,0,756,0,0,961,756,1,0,1,0,3,1,0,7,1,1,1998,3,642,0,0,35,272,0,0,0,2,2006,0,1,140000
5,14260,1,0,0,8,5,2000,2000,0,0,0,0,0,0,0,3,1145,0,0,1145,1053,1,0,2,1,4,1,0,9,1,0,2000,3,836,0,192,84,0,0,0,0,12,2008,0,0,250000
6,14115,0,0,2,5,5,1993,1995,0,0,0,0,3,0,0,0,796,0,0,796,566,1,0,1,1,1,1,1,5,0,0,1993,2,480,0,40,30,0,320,0,0,10,2009,0,0,143000
7,10084,0,0,1,8,5,2004,2005,0,0,0,0,0,2,0,3,1686,0,0,1694,0,1,0,2,0,3,1,0,7,1,0,2004,2,636,0,255,57,0,0,0,0,8,2007,0,0,307000
8,10382,2,0,0,7,6,1973,1973,0,0,3,3,1,0,0,2,1107,0,0,1107,983,1,0,2,1,3,1,1,7,2,0,1973,2,484,0,235,204,228,0,0,0,11,2009,0,0,200000
9,6120,0,0,2,7,5,1931,1950,0,0,4,2,2,1,0,0,952,0,0,1022,752,0,0,2,0,2,2,1,8,2,1,1931,2,468,0,90,0,205,0,0,0,4,2008,0,1,129900
10,7420,2,1,3,5,6,1939,1950,0,0,1,1,2,1,0,0,991,0,0,1077,0,1,0,1,0,2,2,1,5,2,0,1939,1,205,0,0,4,0,0,0,0,1,2008,0,0,118000
11,11200,0,0,1,5,5,1965,1965,1,0,3,3,1,1,0,0,1040,0,0,1040,0,1,0,1,0,3,1,1,5,0,1,1965,1,384,0,0,0,0,0,0,0,2,2008,0,0,129500
12,11924,0,0,0,9,5,2005,2006,1,0,5,2,0,2,0,0,1175,0,0,1182,1142,1,0,3,0,4,1,2,11,2,2,2005,3,736,0,147,21,0,0,0,0,7,2006,1,2,345000
13,12968,0,0,1,5,6,1962,1962,1,0,3,4,1,1,0,0,912,0,0,912,0,1,0,1,0,2,1,1,4,0,1,1962,1,352,0,140,0,0,0,176,0,9,2008,0,0,144000
14,10652,0,0,1,7,5,2006,2007,0,0,0,0,0,0,0,3,1494,0,0,1494,0,0,0,2,0,3,1,0,7,1,0,2006,3,840,0,160,33,0,0,0,0,8,2007,1,2,279500
15,10920,2,0,1,6,5,1960,1960,1,0,1,1,1,1,0,0,1253,0,0,1253,0,1,0,1,1,2,1,1,5,1,0,1960,1,352,0,0,213,176,0,0,0,5,2008,0,0,157000
16,6120,2,0,3,7,8,1929,2001,0,0,2,5,2,1,0,0,832,0,0,854,0,0,0,1,0,2,1,1,5,0,1,1991,2,576,0,48,112,0,0,0,0,7,2007,0,0,132000
17,11241,3,0,1,6,7,1970,1970,0,0,2,5,1,1,0,0,1004,0,0,1004,0,1,0,1,0,2,1,1,5,1,0,1970,2,480,0,0,0,0,0,0,0,3,2010,0,0,149000
18,10791,0,2,1,4,5,1967,1967,0,0,1,1,4,3,2,4,0,0,0,1296,0,0,0,2,0,2,2,1,6,0,3,1967,2,516,0,0,0,0,0,0,0,10,2006,0,0,90000
19,13695,0,0,1,5,5,2004,2004,0,0,0,0,0,1,0,0,1114,0,0,1114,0,1,0,1,1,3,1,0,6,0,1,2004,2,576,0,0,102,0,0,0,0,6,2008,0,0,159000
20,7560,0,0,1,5,6,1958,1965,1,0,4,4,1,1,0,0,1029,0,0,1339,0,0,0,1,0,3,1,1,6,0,0,1958,1,294,0,0,0,0,0,0,0,5,2009,2,1,139000
21,14215,2,0,0,8,5,2005,2006,0,0,0,0,0,2,0,3,1158,0,0,1158,1218,0,0,3,1,4,1,0,9,1,2,2005,3,853,0,240,154,0,0,0,0,11,2006,1,2,325300
22,7449,0,0,3,7,7,1930,1950,0,0,2,5,0,1,0,0,637,0,0,1108,0,0,0,1,0,3,1,0,6,1,0,1930,1,280,1,0,0,205,0,0,0,6,2007,0,0,139400
23,9742,0,0,1,8,5,2002,2002,1,0,0,0,0,0,0,0,1777,0,0,1795,0,0,0,2,0,3,1,0,7,1,0,2002,2,534,0,171,159,0,0,0,0,9,2008,0,0,230000
24,4224,0,3,1,5,7,1976,1976,0,0,6,6,0,0,0,0,1040,0,0,1060,0,1,0,1,0,3,1,1,6,1,0,1976,2,572,0,100,110,0,0,0,0,6,2007,0,0,129900
25,8246,0,0,1,5,8,1968,2001,0,0,7,4,1,1,0,2,1060,0,0,1060,0,1,0,1,0,3,1,0,6,1,0,1968,1,270,0,406,90,0,0,0,0,5,2010,0,0,154000
26,14230,2,0,1,8,5,2007,2007,0,0,0,0,0,0,0,0,1566,0,0,1600,0,0,0,2,0,3,1,0,7,1,0,2007,3,890,0,0,56,0,0,0,0,7,2009,0,0,256300
27,7200,2,0,1,5,7,1951,2000,0,0,2,5,1,1,0,2,900,0,0,900,0,0,1,1,0,3,1,0,5,0,1,2005,2,576,0,222,32,0,0,0,0,5,2010,0,0,134800
28,11478,0,0,1,8,5,2007,2008,0,0,0,0,0,2,0,0,1704,0,0,1704,0,1,0,2,0,3,1,0,7,1,0,2008,3,772,0,0,50,0,0,0,0,5,2010,0,0,306000
29,16321,3,0,1,5,6,1957,1997,0,0,1,1,1,1,0,1,1484,0,0,1600,0,1,0,1,0,2,1,1,6,2,0,1957,1,319,0,288,258,0,0,0,0,12,2006,0,0,207500
30,6324,0,0,1,4,6,1927,1950,0,0,1,1,2,1,0,0,520,0,1,520,0,0,0,1,0,1,1,3,4,0,1,1920,1,240,0,49,0,87,0,0,0,5,2008,0,0,68500
31,8500,0,0,0,4,4,1920,1950,2,0,4,7,2,1,0,0,649,0,1,649,668,0,0,1,0,3,1,1,6,0,1,1920,1,250,1,0,54,172,0,0,0,7,2008,0,0,40000
32,8544,3,0,1,5,6,1966,2006,0,0,3,3,1,1,0,0,1228,0,0,1228,0,0,0,1,1,3,1,0,6,0,0,1966,1,271,0,0,65,0,0,0,0,6,2008,0,0,149350
33,11049,2,0,1,8,5,2007,2007,0,0,0,0,0,2,0,3,1234,0,0,1234,0,0,0,2,0,3,1,0,7,0,0,2007,2,484,0,0,30,0,0,0,0,1,2008,0,0,179900
34,10552,0,0,1,5,5,1959,1959,1,0,4,7,1,1,0,0,1398,0,0,1700,0,0,1,1,1,4,1,0,6,1,0,1959,2,447,0,0,38,0,0,0,0,4,2010,0,0,165500
35,7313,0,3,1,9,5,2005,2005,1,0,1,1,0,2,0,0,1561,0,0,1561,0,1,0,2,0,2,1,2,6,1,0,2005,2,556,0,203,47,0,0,0,0,8,2007,0,0,277500
36,13418,0,0,0,8,5,2004,2005,0,0,0,0,0,2,0,3,1117,0,0,1132,1320,0,0,3,1,4,1,0,9,1,2,2004,3,691,0,113,32,0,0,0,0,9,2006,0,0,309000
37,10859,2,0,1,5,5,1994,1995,0,0,0,0,0,0,0,0,1097,0,0,1097,0,0,0,1,1,3,1,1,6,0,0,1995,2,672,0,392,64,0,0,0,0,6,2009,0,0,145000
38,8532,0,0,1,5,6,1954,1990,1,0,2,5,1,1,0,0,1297,0,0,1297,0,0,1,1,0,3,1,1,5,1,0,1954,2,498,0,0,0,0,0,0,0,10,2009,0,0,153000
39,7922,0,0,1,5,7,1953,2007,0,0,0,0,1,1,0,0,1057,0,0,1057,0,1,0,1,0,3,1,0,5,0,1,1953,1,246,0,0,52,0,0,0,0,1,2010,0,1,109000
40,6040,0,2,1,4,5,1955,1955,0,0,8,4,0,3,2,4,0,0,1,1152,0,0,0,2,0,2,2,3,6,0,4,NA,0,0,1,0,0,0,0,0,0,6,2008,0,3,82000
41,8658,0,0,1,6,5,1965,1965,0,0,2,5,1,1,0,0,1088,0,0,1324,0,0,0,2,0,3,1,1,6,1,0,1965,2,440,0,0,138,0,0,0,0,12,2006,0,1,160000
42,16905,0,0,1,5,6,1959,1959,0,0,0,0,1,1,0,1,1350,0,0,1328,0,0,1,1,1,2,1,1,5,2,0,1959,1,308,2,0,104,0,0,0,0,7,2007,0,0,170000
43,9180,3,0,4,5,7,1983,1983,0,0,3,3,1,0,0,3,840,0,0,884,0,1,0,1,0,2,1,0,5,0,0,1983,2,504,0,240,0,0,0,0,0,12,2007,0,0,144000
44,9200,3,0,1,5,6,1975,1980,1,0,0,0,1,0,0,3,938,0,0,938,0,1,0,1,0,3,1,1,5,0,1,1977,1,308,0,145,0,0,0,0,0,7,2008,0,0,130250
45,7945,0,0,1,5,6,1959,1959,0,0,4,5,1,1,0,0,1150,0,0,1150,0,1,0,1,0,3,1,1,6,0,0,1959,1,300,0,0,0,0,0,0,0,5,2006,0,0,141000
46,7658,0,3,1,9,5,2005,2005,1,0,1,1,0,2,0,0,1752,0,0,1752,0,1,0,2,0,2,1,2,6,1,0,2005,2,576,0,196,82,0,0,0,0,2,2010,0,0,319900
47,12822,3,0,2,7,5,2003,2003,0,0,0,0,0,2,0,0,1434,0,0,1518,631,1,0,1,1,1,1,0,6,1,0,2003,2,670,0,168,43,0,0,198,0,8,2009,0,1,239686
48,11096,0,0,1,8,5,2006,2006,0,0,0,0,0,0,0,3,1656,0,0,1656,0,0,0,2,0,3,1,0,7,0,0,2006,3,826,0,0,146,0,0,0,0,7,2007,0,0,249700
49,4456,0,1,0,4,5,1920,2008,0,0,1,1,2,1,0,0,736,0,0,736,716,0,0,2,0,2,3,1,8,0,4,NA,0,0,1,0,0,102,0,0,0,6,2009,1,2,113000
50,7742,0,0,1,5,7,1966,1966,0,0,3,3,1,1,0,0,955,0,0,955,0,1,0,1,0,3,1,1,6,0,0,1966,1,386,0,0,0,0,0,0,0,1,2007,0,0,127000
